PROVINCIA,PARTIDO,LOCALIDAD,POBLACION,M_ADSL,M_CABLEMODEM,M_DIAL_UP,M_FIBRA_OPTICA,M_SATELITAL,M_WIRELESS,M_TELEFONIA_FIJA,M_3G,M_4G,LATITUD,LONGITUD,DISTANCIA
BUENOS AIRES,25 DE MAYO,25 DE MAYO,23408,True,True,False,False,True,True,True,True,True,-35.4339385892588,-60.1731209454056,185.92
BUENOS AIRES,25 DE MAYO,AGUSTÍN MOSCONI,280,False,False,False,False,False,False,True,False,False,-35.7392169542026,-60.5590634621789,233.48
BUENOS AIRES,25 DE MAYO,DEL VALLE,899,True,False,False,False,True,False,False,True,False,-35.8973453887603,-60.7316089512944,256.18
BUENOS AIRES,25 DE MAYO,ERNESTINA,145,True,False,False,False,False,False,True,False,False,-35.2702340519789,-59.5575034078873,129.24
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,547,False,False,False,False,False,True,False,False,False,-35.1643973648093,-60.0813577815069,164.96
BUENOS AIRES,25 DE MAYO,LUCAS MONTEVERDE,63,False,False,False,False,False,True,False,False,False,-35.4838272164734,-59.9880647932831,174.8
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,4524,False,True,False,True,False,True,True,True,True,-35.2727788695321,-59.7719327250509,145.51
BUENOS AIRES,25 DE MAYO,PEDERNALES,1432,True,False,False,True,False,True,True,False,True,-35.2666085074294,-59.6306574695384,134.41
BUENOS AIRES,25 DE MAYO,SAN ENRIQUE,279,False,False,False,False,False,False,True,False,False,-35.7785028686085,-60.3546454811901,220.85
BUENOS AIRES,25 DE MAYO,VALDÉS,579,False,False,False,False,False,False,True,False,True,-35.6488128268597,-60.4672591673156,221.07
BUENOS AIRES,9 DE JULIO,12 DE OCTUBRE,219,False,False,False,False,False,True,True,False,False,-35.607730780146,-60.9182929927645,254.5
BUENOS AIRES,9 DE JULIO,9 DE JULIO,36494,True,True,True,True,False,True,True,True,True,-35.4447435053964,-60.8843433362719,244.21
BUENOS AIRES,ALBERTI,VILLA MARÍA,24,False,False,False,False,False,False,False,False,False,-34.8881255447686,-60.3469385614883,179.29
BUENOS AIRES,ALBERTI,VILLA ORTIZ (EST. CORONEL MOM),815,False,False,False,False,False,True,True,True,True,-34.8435329449862,-60.3048498633642,174.65
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,30271,True,True,True,True,True,True,True,True,True,-34.8015580737331,-58.3914677191541,25.47
BUENOS AIRES,ALMIRANTE BROWN,BURZACO,92223,True,True,True,True,True,True,True,True,True,-34.8315415891783,-58.3986874871405,28.73
BUENOS AIRES,ALMIRANTE BROWN,CLAYPOLE,44098,True,True,True,True,False,True,True,True,True,-34.8044759080477,-58.3447825531042,26.6
BUENOS AIRES,ALMIRANTE BROWN,DON ORIONE,46366,False,True,False,False,False,True,False,True,True,-34.8210751643113,-58.3447457989957,28.39
BUENOS AIRES,ALMIRANTE BROWN,GLEW,61985,True,True,True,True,False,True,True,True,True,-34.8860114180413,-58.3818301842512,34.9
BUENOS AIRES,ALMIRANTE BROWN,JOSE MÁRMOL,43494,False,True,True,True,False,True,True,True,True,-34.7851442510713,-58.3681475603787,24.01
BUENOS AIRES,GENERAL PUEYRREDÓN,MAR DEL PLATA,560913,True,True,True,True,True,True,True,True,True,-38.0120914785136,-57.6064947153173,389.22
BUENOS AIRES,GENERAL PUEYRREDÓN,PUNTA MOGOTES,0,False,False,False,False,False,False,False,True,True,-38.0833774287933,-57.5859350936487,397.34
BUENOS AIRES,GENERAL PUEYRREDÓN,SIERRA DE LOS PADRES,4249,True,False,False,True,False,True,True,True,True,-37.954166706805,-57.7715971022228,380.35
BUENOS AIRES,GENERAL RODRÍGUEZ,BARRIO RUTA 24 KILÓMETRO 10,0,False,False,False,True,False,False,False,True,True,-34.6882159472973,-58.9574297137089,50.57
BUENOS AIRES,GENERAL RODRÍGUEZ,COUNTRY CLUB BOSQUE REAL - BARRIO MORABO,0,False,False,False,False,False,False,False,True,True,-34.555,-58.935,46.98
BUENOS AIRES,GENERAL RODRÍGUEZ,GENERAL RODRÍGUEZ,85315,True,True,True,True,True,True,True,True,True,-34.6079239021063,-58.950282039134,48.46
BUENOS AIRES,GENERAL SAN MARTÍN,BARRIO PARQUE GENERAL SAN MARTIN,421,False,False,True,True,False,True,True,False,True,-34.5673433766504,-58.5843112459936,14.84
RIO NEGRO,PILCANIYEU,ÑIRIHUAU,261,False,False,False,False,False,False,False,False,False,-41.0885592834836,-71.1369133751581,1328.82
