PROVINCIA,PARTIDO,LOCALIDAD,ADSL,CABLEMODEM,DIAL_UP,FIBRA_OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,POBLACION,DISTANCIA
BUENOS AIRES,25 DE MAYO,25 DE MAYO,755,4600,0,2,0,742,0,727,23408,185.92
BUENOS AIRES,25 DE MAYO,DEL VALLE,181,0,0,0,10,1,0,0,899,256.18
BUENOS AIRES,25 DE MAYO,GOBERNADOR UGARTE,0,0,0,0,0,0,0,181,547,164.96
BUENOS AIRES,25 DE MAYO,NORBERTO DE LA RIESTRA,0,782,0,496,16,0,0,185,4524,145.51
BUENOS AIRES,25 DE MAYO,LUCAS MONTEVERDE,0,0,0,0,0,0,0,6,63,174.8
BUENOS AIRES,25 DE MAYO,ERNESTINA,75,0,0,0,0,0,0,0,145,129.24
BUENOS AIRES,25 DE MAYO,PEDERNALES,154,0,0,25,21,0,0,7,1432,134.41
BUENOS AIRES,9 DE JULIO,12 DE OCTUBRE,0,0,0,0,0,0,0,19,219,254.5
BUENOS AIRES,9 DE JULIO,9 DE JULIO,4241,3553,80,6238,0,0,0,831,36494,244.21
BUENOS AIRES,9 DE JULIO,DUDIGNAC,0,0,0,0,0,0,0,474,2670,240.06
BUENOS AIRES,9 DE JULIO,PATRICIOS,81,0,0,0,0,0,0,50,745,230.1
BUENOS AIRES,9 DE JULIO,MOREA,0,0,0,0,0,0,0,130,347,223.15
BUENOS AIRES,ADOLFO ALSINA,CARHUÉ,766,0,1,1417,1,0,0,1066,9660,486.09
BUENOS AIRES,ADOLFO ALSINA,MAZA,0,0,0,390,0,2,0,14,1748,508.2
BUENOS AIRES,ADOLFO ALSINA,RIVERA,0,0,0,1253,0,0,0,0,3217,520.79
BUENOS AIRES,ADOLFO ALSINA,COLONIA SAN MIGUEL ARCÁNGEL,0,0,0,208,0,0,0,0,563,529.5
BUENOS AIRES,ADOLFO ALSINA,ESTEBAN AGUSTÍN GASCÓN,0,0,0,60,0,0,0,0,104,539.88
BUENOS AIRES,ADOLFO GONZALES CHAVES,DE LA GARMA,0,0,0,654,6,0,0,57,1625,417.07
BUENOS AIRES,ADOLFO GONZALES CHAVES,JUAN E. BARRA,0,0,0,0,0,0,0,46,212,405.9
BUENOS AIRES,ADOLFO GONZALES CHAVES,VÁSQUEZ,0,0,0,0,0,0,0,14,43,430.06
BUENOS AIRES,ALBERTI,MECHITA,285,0,0,0,0,0,0,0,412,188.91
BUENOS AIRES,ALBERTI,CORONEL SEGUÍ,0,0,0,0,0,0,0,5,146,183.12
BUENOS AIRES,ALMIRANTE BROWN,ADROGUÉ,86,9355,53,12087,91,1,0,26,30271,25.47
